Country,Last,Previous,Reference,Unit
Armenia,9.1,8.9,Oct/21,%
Sao Tome and Principe,9.1,8.8,Sep/21,%
Pakistan,9.2,8.98,Oct/21,%
Mongolia,9.7,9.6,Oct/21,%
Malawi,9.8,8.9,Oct/21,%
Burundi,9.87,10.49,Oct/21,%
Seychelles,10,9.8,Oct/21,%
Turkmenistan,10,13.4,Dec/20,%
Belarus,10.5,10.2,Oct/21,%
Uzbekistan,10.6,10.8,Oct/21,%
Brazil,10.67,10.25,Oct/21,%
Ukraine,10.9,11,Oct/21,%
Haiti,10.91,12.2,Aug/21,%
Ghana,11,10.6,Oct/21,%
Sierra Leone,11.63,10.9,Sep/21,%
Kyrgyzstan,12.5,13.5,Oct/21,%
Guinea,12.7,13.05,Oct/21,%
Georgia,12.8,12.3,Oct/21,%
Nigeria,15.99,16.63,Oct/21,%
Zambia,19.3,21.1,Nov/21,%
Turkey,19.89,19.58,Oct/21,%
Angola,26.87,26.57,Oct/21,%
Ethiopia,34.2,34.8,Oct/21,%
Iran,39.2,43.7,Oct/21,%
Argentina,52.1,52.5,Oct/21,%
Zimbabwe,58.4,54.49,Nov/21,%
Suriname,69.5,59.8,Sep/21,%
Syria,139,134,Aug/21,%
Lebanon,174,144,Oct/21,%
Sudan,366,388,Sep/21,%
