,Country,Last,Previous,Reference,Unit,rank
150,New Zealand,2.2,1.3,Sep/21,%,151
151,Jamaica,2.3,0.9,Sep/21,%,152
152,Turkey,2.39,1.25,Oct/21,%,153
153,Hong Kong,2.8,-2.3,Oct/21,%,154
154,Argentina,3.5,3.5,Oct/21,%,155
155,Iran,3.7,3.9,Oct/21,%,156
156,Zimbabwe,5.8,6.4,Nov/21,%,157
157,Venezuela,6.8,7.1,Oct/21,%,158
158,South Sudan,9.72,2.44,Oct/21,%,159
159,Lebanon,16.42,8.16,Oct/21,%,160
