,Country,Last,Previous,Reference,Unit,rank
92,India,4.48,4.35,Oct/21,%,93
93,Germany,4.5,4.1,Oct/21,%,94
94,Ivory Coast,4.5,5.2,Oct/21,%,95
95,Colombia,4.58,4.51,Oct/21,%,96
96,Philippines,4.6,4.8,Oct/21,%,97
97,Honduras,4.65,4.62,Oct/21,%,98
98,Canada,4.7,4.4,Oct/21,%,99
99,Eritrea,4.7,-16.4,Dec/20,%,100
100,Mauritania,4.7,4.7,Oct/21,%,101
101,Central African Republic,4.78,3.59,Dec/20,%,102
102,Iceland,4.8,4.5,Nov/21,%,103
103,Somalia,4.86,4.24,Oct/21,%,104
104,East Timor,4.9,4.1,Oct/21,%,105
105,New Zealand,4.9,3.3,Sep/21,%,106
106,Congo,4.92,6.23,Feb/21,%,107
107,Bhutan,4.97,5.3,Sep/21,%,108
108,Nicaragua,4.98,4.12,Aug/21,%,109
109,South Africa,5.0,5.0,Oct/21,%,110
110,Ireland,5.1,3.7,Oct/21,%,111
111,Slovakia,5.1,4.6,Oct/21,%,112
112,Lesotho,5.4,5.2,Sep/21,%,113
113,Spain,5.4,4.0,Oct/21,%,114
114,El Salvador,5.49,4.97,Oct/21,%,115
115,Bangladesh,5.59,5.54,Sep/21,%,116
116,Azerbaijan,5.7,5.2,Oct/21,%,117
117,Kosovo,5.7,4.9,Oct/21,%,118
118,Czech Republic,5.8,4.9,Oct/21,%,119
119,Mauritius,5.8,5.4,Oct/21,%,120
120,South Sudan,5.81,5.05,Oct/21,%,121
121,Peru,5.83,5.23,Oct/21,%,122
122,Togo,5.9,5.7,Oct/21,%,123
123,Bulgaria,6.0,4.8,Oct/21,%,125
124,Chile,6.0,5.3,Oct/21,%,126
125,Latvia,6.0,4.8,Oct/21,%,124
126,United States,6.2,5.4,Oct/21,%,127
127,Mexico,6.24,6.0,Oct/21,%,128
128,Madagascar,6.29,6.41,Sep/21,%,129
129,Egypt,6.3,6.6,Oct/21,%,130
130,Tunisia,6.3,6.2,Oct/21,%,131
131,Mozambique,6.42,6.04,Oct/21,%,132
132,Kenya,6.45,6.91,Oct/21,%,133
133,Hungary,6.5,5.5,Oct/21,%,134
134,Myanmar,6.51,5.68,Jul/21,%,135
135,Serbia,6.6,5.7,Oct/21,%,136
136,Poland,6.8,5.9,Oct/21,%,137
137,Guyana,6.84,7.63,Sep/21,%,138
138,Estonia,7.0,6.6,Oct/21,%,139
139,Liberia,7.0,7.12,Aug/21,%,140
140,Iraq,7.3,8.2,Sep/21,%,141
141,Gambia,7.34,7.01,Oct/21,%,142
142,Paraguay,7.6,6.4,Oct/21,%,143
143,Sri Lanka,7.6,5.7,Oct/21,%,144
144,Dominican Republic,7.72,7.74,Oct/21,%,145
145,Uruguay,7.89,7.41,Oct/21,%,146
146,Romania,7.94,6.29,Oct/21,%,147
147,Lithuania,8.0,6.3,Oct/21,%,148
148,Russia,8.13,7.4,Oct/21,%,149
149,Jamaica,8.2,6.1,Sep/21,%,150
150,Tajikistan,8.7,9.6,Oct/21,%,151
151,Botswana,8.8,8.4,Oct/21,%,152
152,Moldova,8.8,6.7,Oct/21,%,153
153,Kazakhstan,8.9,8.9,Oct/21,%,154
154,Armenia,9.1,8.9,Oct/21,%,155
155,Sao Tome and Principe,9.1,8.8,Sep/21,%,156
156,Pakistan,9.2,8.98,Oct/21,%,157
157,Mongolia,9.7,9.6,Oct/21,%,158
158,Malawi,9.8,8.9,Oct/21,%,159
159,Burundi,9.87,10.49,Oct/21,%,160
160,Seychelles,10.0,9.8,Oct/21,%,162
161,Turkmenistan,10.0,13.4,Dec/20,%,161
162,Belarus,10.5,10.2,Oct/21,%,163
163,Uzbekistan,10.6,10.8,Oct/21,%,164
164,Brazil,10.67,10.25,Oct/21,%,165
165,Ukraine,10.9,11.0,Oct/21,%,166
166,Haiti,10.91,12.2,Aug/21,%,167
167,Ghana,11.0,10.6,Oct/21,%,168
168,Sierra Leone,11.63,10.9,Sep/21,%,169
169,Kyrgyzstan,12.5,13.5,Oct/21,%,170
170,Guinea,12.7,13.05,Oct/21,%,171
171,Georgia,12.8,12.3,Oct/21,%,172
172,Nigeria,15.99,16.63,Oct/21,%,173
173,Zambia,19.3,21.1,Nov/21,%,174
174,Turkey,19.89,19.58,Oct/21,%,175
175,Angola,26.87,26.57,Oct/21,%,176
176,Ethiopia,34.2,34.8,Oct/21,%,177
177,Iran,39.2,43.7,Oct/21,%,178
178,Argentina,52.1,52.5,Oct/21,%,179
179,Zimbabwe,58.4,54.49,Nov/21,%,180
180,Suriname,69.5,59.8,Sep/21,%,181
181,Syria,139.0,134.0,Aug/21,%,182
182,Lebanon,174.0,144.0,Oct/21,%,183
183,Sudan,366.0,388.0,Sep/21,%,184
